"","input_bc","input_low","input_high","costs_low","costs_high","cost_bc","deaths_low","deaths_high","deaths_bc","od_deaths_low","od_deaths_high","od_deaths_bc","group","cost_range","deaths_range","od_deaths_range","name"
"65",999,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BN_CHRONIC"
"66",0.00042924,0.00032193,0.00053655,666098869159.113,674170022330.292,670152374271.406,4477343.51912848,4556416.36987167,4517060.87241281,117705.703056275,117593.121872339,117649.312267207,"BN_CHRONIC",8071153171.17871,79072.8507431867,112.581183936403,"p_BN_CANCER"
"67",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BN_OTHER"
"68",0.0003077,0.000230775,0.000384625,670668717634.96,669637701576.241,670152374271.406,4462814.59457367,4570893.68119201,4517060.87241281,117809.814656416,117489.516068177,117649.312267207,"BN_CHRONIC",1031016058.71973,108079.086618339,320.298588239661,"p_BN_PALLIATIVE"
"69",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BPO_ACUTE"
"70",0.01,0.00269262,0.0125,674309162292.871,669006168125.78,670152374271.406,4597164.36470375,4495252.67811593,4517060.87241281,115260.770031629,118294.160668013,117649.312267207,"BN_CHRONIC",5302994167.09082,101911.686587824,3033.39063638401,"p_BPO_CHRONIC"
"71",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BPO_CANCER"
"72",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BPO_OTHER"
"73",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BPO_PALLIATIVE"
"74",0.00728,0.00546,0.0091,640662709398.714,695464990767.948,670152374271.406,4512298.34750846,4521530.74227276,4517060.87241281,109768.204205508,124598.983319121,117649.312267207,"BN_CHRONIC",54802281369.2346,9232.3947642995,14830.7791136129,"p_BPO_MISUSE"
